,GLoss,DLoss
0,0.32785144,0.32928595
0,0.3270578384399414,0.3270674347877502
0,0.3253929316997528,0.3253980278968811
0,0.3251236081123352,0.3251267969608307
0,0.3250857889652252,0.3250877559185028
0,0.3250839412212372,0.3250851333141327
0,0.3251028060913086,0.3251034915447235
0,0.3251549005508423,0.3251554071903229
0,0.3294897973537445,0.3295018374919891
0,0.3250828981399536,0.3250855803489685
0,0.3250828981399536,0.3250844180583954
0,0.3250828981399536,0.3250835239887237
0,0.3250828683376312,0.3250831663608551
0,0.3250828683376312,0.3250830769538879
0,0.3250828385353088,0.3250829577445984
0,0.3250828385353088,0.325082927942276
0,0.3257328271865845,0.3257329761981964
0,0.325083315372467,0.3250833749771118
0,0.3250832855701446,0.325083315372467
0,0.3250831961631775,0.3250831961631775
0,0.3250831365585327,0.3250831365585327
0,0.3256425261497497,0.3256425559520721
0,0.3250837028026581,0.3250837028026581
0,0.3250836431980133,0.3250836431980133
0,0.3250834941864013,0.3250834941864013
0,0.325083315372467,0.325083315372467
0,0.3250832259654999,0.3250832259654999
0,0.3251000642776489,0.3251000642776489
0,0.3251090943813324,0.3251090943813324
0,0.3251319825649261,0.3251319825649261
0,0.3251115977764129,0.3251115977764129
0,0.3251062929630279,0.3251062929630279
0,0.3251021206378937,0.3251021206378937
0,0.3251161277294159,0.3251161277294159
0,0.3251035511493683,0.3251035511493683
0,0.3251060247421264,0.3251060247421264
0,0.3251103162765503,0.3251103162765503
0,0.3251048028469085,0.3251048028469085
0,0.3251199126243591,0.3251199126243591
0,0.3251155614852905,0.3251155614852905
0,0.3250862658023834,0.3250862658023834
0,0.325122982263565,0.325122982263565
0,0.3250885903835296,0.3250885903835296
0,0.3251258432865143,0.3251258432865143
0,0.3250943720340729,0.3250943720340729
0,0.325107604265213,0.325107604265213
0,0.3250930309295654,0.3250930309295654
0,0.3251361548900604,0.3251361548900604
0,0.32508385181427,0.32508385181427
0,0.325096070766449,0.325096070766449
0,0.3251214921474457,0.3251214921474457
0,0.3250991106033325,0.3250991106033325
0,0.3251305818557739,0.3251305818557739
0,0.3250841796398163,0.3250841796398163
0,0.3251083493232727,0.3251083493232727
